No,구분,발급일자,시험번호,시험명,업체명,해당팀,비고,접수일자,접수번호,작성자(PL),시작일,종료일,업체명,시료명
26,성적서,2024-11-04 0:00,GS-C-24-0074,GS,디엑스웍스㈜,영남소프트웨어시험센터,,2024-09-23 0:00,24-03865,이진협,2024-11-04 0:00,2024-11-04 0:00,디엑스웍스㈜,DX Ledger DID v1.0.0
27,성적서,2024-11-06 0:00,GS-C-24-0073,GS,㈜스페이스빌더스,영남소프트웨어시험센터,,2024-09-23 0:00,24-03863,이진협,2024-11-06 0:00,2024-11-06 0:00,㈜스페이스빌더스,스페이스빌더스 시설물 통합플랫폼 ISPS V1.0
28,성적서,2024-11-14 0:00,GS-C-24-0084,GS,라미랩㈜,영남소프트웨어시험센터,,2024-10-29 0:00,24-04514,이재훈,2024-11-14 0:00,2024-11-14 0:00,라미랩㈜,3D GIS 기반 도시재난시각화 솔루션(D-MAP) v1.0
29,성적서,2024-11-18 0:00,GS-C-24-0063,GS,㈜랩오투원,영남소프트웨어시험센터,,2024-08-20 0:00,24-03329,전지은,2024-11-18 0:00,2024-11-18 0:00,㈜랩오투원,에너지통합관제 v1.0
30,성적서,2024-11-20 0:00,GS-C-23-0093,GS,마린웍스㈜,영남소프트웨어시험센터,,2023-08-03 0:00,23-04765,김민우,2024-11-20 0:00,2024-11-20 0:00,마린웍스㈜,상태모니터링지원시스템 v1.0
31,성적서,2024-11-22 0:00,GS-C-24-0077,GS,㈜유심테크,영남소프트웨어시험센터,,2024-10-07 0:00,24-04140,이재훈,2024-11-22 0:00,2024-11-22 0:00,㈜유심테크,e2 스쿨 v4.0
32,성적서,2024-11-25 0:00,GS-C-24-0078,GS,㈜유알정보기술,영남소프트웨어시험센터,,2024-10-08 0:00,24-04159,전지은,2024-11-25 0:00,2024-11-25 0:00,㈜유알정보기술,넷트랙 v1.0
33,성적서,2024-12-06 0:00,GS-C-24-0081,GS,㈜더아이엠씨,영남소프트웨어시험센터,,2024-10-21 0:00,24-04372,이재훈,2024-12-06 0:00,2024-12-06 0:00,㈜더아이엠씨,텍스톰 스쿨 v1.0
34,성적서,2024-12-12 0:00,GS-C-24-0082,GS,㈜삼우이머션,영남소프트웨어시험센터,,2024-10-28 0:00,24-04486,전지은,2024-12-12 0:00,2024-12-12 0:00,㈜삼우이머션,IMXR® CPR/AED XR KIT PRO V1.0 V1.0
35,성적서,2024-12-12 0:00,GS-C-24-0088,GS,주식회사와이제이솔루션,영남소프트웨어시험센터,,2024-11-15 0:00,24-04902,이재훈,2024-12-12 0:00,2024-12-12 0:00,주식회사와이제이솔루션,"와이제이 에코스타 빌딩에너지관리시스템 v1.0, YJ EcoStar BEMS v1.0"
36,성적서,2024-12-16 0:00,GS-C-24-0089,GS,아리안,영남소프트웨어시험센터,,2024-11-18 0:00,24-04918,이진협,2024-12-16 0:00,2024-12-16 0:00,아리안,아리안 지능화 통합플랫폼(AIOS) v1.0
37,성적서,2024-12-16 0:00,GS-C-24-0090,GS,(주)우리소프트,영남소프트웨어시험센터,,2024-11-21 0:00,24-04991,전지은,2024-12-16 0:00,2024-12-16 0:00,(주)우리소프트,뉴로월드 v1.0
38,성적서,2024-12-19 0:00,GS-C-24-0086,GS,㈜엘앤에이치랩스,영남소프트웨어시험센터,,2024-11-08 0:00,24-04675,김민우,2024-12-19 0:00,2024-12-19 0:00,㈜엘앤에이치랩스,하루핏 카디오 DTx v2.0.0
39,성적서,2025-01-03 0:00,GS-C-24-0093,GS,(주)위즈위그,영남소프트웨어시험센터,,2024-12-06 0:00,24-05307,전지은,2025-01-03 0:00,2025-01-03 0:00,(주)위즈위그,CBS v1.0
40,성적서,2025-01-06 0:00,GS-C-24-0087,GS,㈜엘앤에이치랩스,영남소프트웨어시험센터,,2024-11-08 0:00,24-04676,김민우,2025-01-06 0:00,2025-01-06 0:00,㈜엘앤에이치랩스,하루핏 핏자 v1.0.0
41,성적서,2025-01-08 0:00,GS-A-24-0305,GS,주식회사 큐빅,영남소프트웨어시험센터,,2024-10-30 0:00,24-04558,이진협,2025-01-08 0:00,2025-01-08 0:00,주식회사 큐빅,데이터 변환 시스템 v1.0
42,성적서,2025-01-09 0:00,GS-C-24-0080,GS,(주)세이프모션,영남소프트웨어시험센터,,2024-10-18 0:00,24-04350,전지은,2025-01-09 0:00,2025-01-09 0:00,(주)세이프모션,세이프모션 키즈 v1.0
43,성적서,2025-01-13 0:00,GS-C-24-0092,GS,"㈜알엠에이,블루마린시스템㈜,동해공업㈜,부산카톨릭대학교 산학협력단",영남소프트웨어시험센터,,2024-12-04 0:00,24-05238,이진협,2025-01-13 0:00,2025-01-13 0:00,㈜알엠에이,수요 예측 기반 지능형 시스템v1.0 v1.0
44,성적서,2025-02-11 0:00,GS-C-25-0002,GS,YH데이타베이스,영남소프트웨어시험센터,,2025-01-06 0:00,25-00136,황현후,2025-02-11 0:00,2025-02-11 0:00,YH데이타베이스,y-Mobileoffice v1.0
45,성적서,2025-02-12 0:00,GS-A-24-0343,GS,네오사피엔스 주식회사,영남소프트웨어시험센터,,2024-12-11 0:00,24-05373,이진협,2025-02-12 0:00,2025-02-12 0:00,네오사피엔스 주식회사,타입캐스트 v1.0
46,성적서,2025-02-12 0:00,GS-C-25-0003,GS,(주)성건엔지니어링,영남소프트웨어시험센터,,2025-01-16 0:00,25-00290,김민우,2025-02-12 0:00,2025-02-12 0:00,(주)성건엔지니어링,크랙N v0.125 v0.1.25
